Words,Synonyms
by,past,aside,away
hindi,Hindi,Hindu,Hindoo
class,sort,stratum,category,course_of_study,separate,social_class,year,sort_out,grade,course_of_instruction,division,classify,assort,socio-economic_class,family,course,form
history,chronicle,account,story
course,flow,row,path,run,course_of_study,track,trend,form,class,grade,course_of_instruction,feed,naturally,of_course,line,course_of_action
strategy,scheme
indian,American-Indian_language,Red_Indian,Amerindic,Indian,Amerindian_language,Native_American,American_Indian,Amerind
crash,break_up,clank,doss,clangor,barge_in,clang,clangour,clangoring,collapse,break_apart,clash,wreck,gate-crash,go_down,doss_down,dash,smash,ram
geography,geographics
practice,exercise,praxis,pattern,practise,rehearse,use,drill,do,apply,commit,recitation,practice_session
exams,examination,exam,test
general,universal,world-wide,worldwide,oecumenical,ecumenical,full_general,superior_general,cosmopolitan
current,flow,stream,electric_current
chemistry,interpersonal_chemistry,chemical_science,alchemy
summary,compendious,drumhead,compact,sum-up,succinct
science,skill,scientific_discipline
affairs,thing,affaire,liaison,function,social_occasion,social_function,personal_matters,intimacy,occasion,personal_business,involvement,amour,affair,matter
questions,inquiry,call_into_question,interview,motion,interrogate,interrogative_sentence,interrogation,doubtfulness,oppugn,wonder,query,question,interrogative,head,doubt,dubiousness,enquiry
english,side,English_language,English_people,English
engineering,organize,organise,technology,engine_room,engineering_science,engineer,direct,mastermind,orchestrate,applied_science
preparation,formulation,preparedness,grooming,cookery,readiness,cooking,homework,provision,planning,training,prep,readying
daily,day-to-day,day-after-day,day-by-day,casual,day_by_day,everyday
polity,civil_order
analysis,psychoanalysis,analytic_thinking,depth_psychology
physics,purgative,physical_science,physic,natural_philosophy,aperient,cathartic
gate,logic_gate
malayalam,Malayalam
net,web,meshing,meshwork,earnings,sack,clear,final,sack_up,last,internet,network,profits,mesh,cyberspace,net_income,profit,nett,net_profit,lucre
paper,theme,composition,newspaper_publisher,wallpaper,newspaper,report
india,Republic_of_India,Bharat,India
mathematics,math,maths
reasoning,reason_out,intelligent,abstract_thought,reason,argue,logical_thinking,conclude,thinking
syllabus,program,curriculum,programme,course_of_study
basic,canonical,introductory,staple,BASIC,canonic
maths,math,mathematics
cse,CSE,Communications_Security_Establishment
previous,former,late,premature,old
biology,biota,biological_science
language,spoken_communication,linguistic_process,voice_communication,lyric,linguistic_communication,nomenclature,spoken_language,speech_communication,oral_communication,words,speech,terminology
important,significant,authoritative,crucial,of_import
roman,Roman,Romanist,popish,Roman_Catholic,papistic,papistical,Romanic,roman_letters,R.C.,romish,papist,roman_type,roman_print
system,organisation,system_of_rules,scheme,arrangement,organization
year,twelvemonth,yr,class
physical,strong-arm,forcible
12,dozen,twelve,XII,xii
1,unity,ace,i,ane,one,I,single
modern,mod,modern_font,modernistic,advanced,innovative,Bodoni_font,forward-looking,New,Modern,Bodoni
bank,bank_building,cant,coin_bank,banking_concern,depository_financial_institution,swear,rely,banking_company,camber,trust,savings_bank,money_box,deposit
economy,economic_system,saving,thriftiness
exam,examination,test
human,human_being,homo,man
development,growth,exploitation,growing,maturation,ontogenesis,developing,ontogeny,evolution
management,direction
awareness,cognizance,knowingness,consciousness,sentience,cognisance
economics,economic_science,political_economy
mechanics,mechanic,auto-mechanic,automobile_mechanic,grease_monkey,machinist,car-mechanic,mechanism,shop_mechanic
complete,everlasting,stark,unadulterated,arrant,accomplished,thoroughgoing,finish,discharge,utter,make_out,sodding,double-dyed,gross,fill_in,all_over,dispatch,terminated,nail,perfect,fill_out,concluded,consummate,ended,staring,over,pure
s,southward,reciprocal_ohm,sec,randomness,mho,sulphur,S,entropy,sulfur,siemens,second,south,atomic_number_16,due_south
